epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,13192.9,1.39616,1.0757,0.91289,0.97598,0.98064,0.99207,0.97405,0.85487,0.57911,0.35635,0.78976,0.006139,0.006139,0.006139
41,13532.3,1.39238,1.07444,0.91076,0.9573,0.98925,0.99129,0.97176,0.8581,0.57316,0.36236,0.79059,0.00604,0.00604,0.00604
42,13850.3,1.37767,1.05729,0.90604,0.98053,0.98345,0.99307,0.96428,0.85741,0.58593,0.35108,0.78979,0.005941,0.005941,0.005941
43,14167.7,1.35784,1.04269,0.90331,0.97974,0.97983,0.99278,0.96457,0.85847,0.5853,0.35486,0.79021,0.005842,0.005842,0.005842
44,14485.9,1.34912,1.02365,0.90522,0.97817,0.9856,0.99136,0.9756,0.86947,0.54939,0.3417,0.7883,0.005743,0.005743,0.005743
45,14829.3,1.34759,1.00203,0.90095,0.97964,0.97299,0.99015,0.97464,0.87119,0.54017,0.34876,0.78655,0.005644,0.005644,0.005644
46,15194.9,1.32814,0.9911,0.90005,0.98019,0.97988,0.9924,0.9692,0.86823,0.55331,0.34007,0.78795,0.005545,0.005545,0.005545
47,15544.7,1.30497,0.972,0.8941,0.98687,0.97556,0.99176,0.9708,0.86769,0.55513,0.32877,0.78797,0.005446,0.005446,0.005446
48,15905.4,1.31827,0.97768,0.89558,0.98475,0.9885,0.99309,0.97775,0.87368,0.54039,0.32436,0.78689,0.005347,0.005347,0.005347
49,16256.9,1.30288,0.95056,0.89659,0.98661,0.98481,0.99216,0.97363,0.87312,0.54286,0.3241,0.78746,0.005248,0.005248,0.005248
50,16583.6,1.28267,0.92347,0.8936,0.98755,0.98497,0.99316,0.97811,0.87472,0.53424,0.32289,0.78624,0.005149,0.005149,0.005149
